"date","new_cases","new_deaths","icu_patients","hosp_patients","stringency_index","temp","humidity","precip","windspeed","transit_stations","residential"
"2021-01-01",8603,97,703,1957,78.7,2.4,93,0.65,12.4,-64.857,16.286
"2021-01-02",7402,36,698,2005,78.7,2.9,97.5,1.118,13.5,-63.857,16.571
"2021-01-03",6563,47,704,2006,78.7,3.5,87,0.005,24.2,-62.857,16.571
"2021-01-04",6341,63,715,2130,78.7,3.1,84.8,0.886,33.4,-62.857,16.286
"2021-01-05",7138,187,731,2159,78.7,3,89.1,0.23,25.7,-62.429,15.857
"2021-01-06",9635,137,704,2131,78.7,2.5,86.9,0.23,23.4,-62,15.571
"2021-01-07",8143,85,712,2052,78.7,2.9,91.3,6.695,23,-61.857,15.429
"2021-01-08",7344,87,708,1936,78.7,1.9,93.8,0.826,10.1,-59.286,14.143
"2021-01-09",6612,136,700,1874,78.7,0.5,89.5,0.109,14.4,-58.286,13.857
"2021-01-10",5417,54,711,1850,78.7,2.5,87.8,0,17.3,-57.714,13.714
"2021-01-11",4892,50,702,1926,78.7,5.7,86.6,1.924,33.8,-57.286,13.571
"2021-01-12",6100,152,695,1945,78.7,5.6,84.6,10.547,34.3,-56.857,13.429
"2021-01-13",6484,122,700,1821,78.7,4.5,78.2,0.589,29.8,-56.571,13.143
"2021-01-14",6031,89,693,1814,78.7,1.9,79.3,0.035,23.5,-56.286,12.857
"2021-01-15",5272,94,690,1784,78.7,1.4,78.6,0,19.2,-56.286,12.714
"2021-01-16",5598,97,671,1694,78.7,1.1,84.4,1.426,30.8,-57,12.714
"2021-01-17",4769,41,676,1708,78.7,3.8,92.2,0.728,23,-57.429,12.714
"2021-01-18",4285,50,690,1744,78.7,5,89,0.032,29.6,-57.286,12.571
"2021-01-19",5538,106,683,1767,78.7,7.8,90.6,16.687,46,-57.571,12.571
"2021-01-20",5800,86,679,1709,78.7,8.8,74.4,0.097,40.8,-57.571,12.571
"2021-01-21",5749,89,677,1667,78.7,7.3,76.6,5.891,52.3,-57.429,12.571
"2021-01-22",5430,85,674,1684,78.7,4.6,83.1,2.366,30.7,-57,12.571
"2021-01-23",4891,88,673,1633,82.41,3.2,87.4,1.268,23.7,-56.857,12.714
"2021-01-24",4046,30,680,1667,82.41,1.9,85.9,0.63,17,-56.429,12.714
"2021-01-25",3922,39,664,1720,82.41,1.8,85.3,1.575,30.7,-56.286,12.714
"2021-01-26",4735,86,674,1705,82.41,4.6,83.1,2.179,31.4,-56,12.714
"2021-01-27",4699,68,651,1648,82.41,4.7,92.4,0.993,30.6,-56.286,12.857
"2021-01-28",4365,83,645,1595,82.41,4.8,95.6,9.695,18.1,-56.571,13
"2021-01-29",4198,56,659,1572,82.41,7.1,90.9,9.578,39.6,-57,13.143
"2021-01-30",3706,87,640,1600,82.41,0.7,80.8,0,27.8,-57.143,13.143
"2021-01-31",3188,39,646,1573,82.41,-1.1,81.1,0,21.3,-56.714,13
"2021-02-01",3578,27,639,1631,82.41,0.7,92.4,1.547,17.9,-56.857,13
"2021-02-02",4028,83,629,1640,82.41,3.3,94.4,2.342,20.8,-57,13
"2021-02-03",4207,61,613,1601,82.41,8.2,94.1,15.263,27.7,-57,13
"2021-02-04",4333,65,602,1519,82.41,6.7,89.9,0.159,27.4,-56.429,12.714
"2021-02-05",4085,60,573,1479,82.41,6.3,93.9,3.353,17.4,-56.143,12.571
"2021-02-06",3941,61,547,1436,82.41,3,91.7,1.039,44.3,-56,12.429
"2021-02-07",2221,48,535,1445,82.41,-3.5,85.5,6.503,50.5,-58.571,13.143
